Year,District,Total
2024,Esenyurt,988369
2024,Kucukcekmece,789033
2024,Pendik,749356
2024,Umraniye,727819
2024,Bagcilar,713594
2024,Bahcelievler,560086
2024,Sultangazi,532601
2024,Maltepe,524921
2024,Basaksehir,520467
2024,Uskudar,512981
2024,Sancaktepe,502077
2024,Gaziosmanpasa,479931
2024,Kartal,475859
2024,Kadikoy,462189
2024,Kagithane,444820
2024,Avcilar,440934
2024,Esenler,423625
2024,Eyupsultan,420706
2024,Beylikduzu,415290
2024,Atasehir,414866
2024,Sultanbeyli,369193
2024,Fatih,354472
2024,Arnavutkoy,344868
2024,Sariyer,342582
2024,Cekmekoy,306739
2024,Tuzla,301400
2024,Buyukcekmece,280528
2024,Zeytinburnu,278344
2024,Bayrampasa,268303
2024,Gungoren,264831
2024,Sisli,263063
2024,Beykoz,245440
2024,Silivri,232156
2024,Bakirkoy,219893
2024,Beyoglu,216688
2024,Besiktas,167264
2024,Catalca,80399
2024,Sile,48936
2024,Adalar,16979